id	name	type	population
0100000US	United States	nation	311536594
0200000US3	South Region	region	116015264
0200000US4	West Region	region	72808624
0200000US2	Midwest Region	region	67148157
0300000US5	South Atlantic Division	division	60548943
0200000US1	Northeast Region	region	55564549
0300000US9	Pacific Division	division	50444095
0300000US3	East North Central Division	division	46505971
0300000US2	Middle Atlantic Division	division	41050840
0400000US06	California	state	37659181
0300000US7	West South Central Division	division	36926452
0400000US48	Texas	state	25639373
0300000US8	Mountain Division	division	22364529
0300000US4	West North Central Division	division	20642186
310M200US35620	New York Metro Area (NY-NJ-PA)	msa	19716880
0400000US36	New York	state	19487053
0400000US12	Florida	state	19091156
0300000US6	East South Central Division	division	18539869
0300000US1	New England Division	division	14513709
310M200US31080	Los Angeles Metro Area (CA)	msa	12945252
0400000US17	Illinois	state	12848554
0400000US42	Pennsylvania	state	12731381
0400000US39	Ohio	state	11549590
0500000US06037	"Los Angeles County, CA"	county	9893481
0400000US26	Michigan	state	9886095
0400000US13	Georgia	state	9810417
0400000US37	North Carolina	state	9651380
310M200US16980	Chicago Metro Area (IL-IN-WI)	msa	9488493
0400000US34	New Jersey	state	8832406
1600000US3651000	"New York, NY"	place	8268999
0400000US51	Virginia	state	8100653
0400000US53	Washington	state	6819579
0400000US25	Massachusetts	state	6605058
310M200US19100	Dallas Metro Area (TX)	msa	6575833
0400000US18	Indiana	state	6514861
0400000US04	Arizona	state	6479703
0400000US47	Tennessee	state	6402387
310M200US26420	Houston Metro Area (TX)	msa	6063540
0400000US29	Missouri	state	6007182
310M200US37980	Philadelphia Metro Area (PA-NJ-DE-MD)	msa	5992766
0400000US24	Maryland	state	5834299
310M200US47900	Washington Metro Area (DC-VA-MD-WV)	msa	5759330
0400000US55	Wisconsin	state	5706871
310M200US33100	Miami Metro Area (FL)	msa	5673185
310M200US12060	Atlanta Metro Area (GA)	msa	5379176
0400000US27	Minnesota	state	5347740
0500000US17031	"Cook County, IL"	county	5212372
0400000US08	Colorado	state	5119329
0400000US01	Alabama	state	4799277
0400000US45	South Carolina	state	4679602
310M200US14460	Boston Metro Area (MA-NH)	msa	4604278
0400000US22	Louisiana	state	4567968
310M200US41860	San Francisco Metro Area (CA)	msa	4402729
0400000US21	Kentucky	state	4361333
310M200US19820	Detroit Metro Area (MI)	msa	4295700
310M200US40140	Riverside Metro Area (CA)	msa	4285443
310M200US38060	Phoenix Metro Area (AZ)	msa	4268289
0500000US48201	"Harris County, TX"	county	4182285
0500000US04013	"Maricopa County, AZ"	county	3889161
0400000US41	Oregon	state	3868721
1600000US0644000	"Los Angeles, CA"	place	3827261
0400000US40	Oklahoma	state	3785742
0400000US72	Puerto Rico	state	3682966
0400000US09	Connecticut	state	3583561
310M200US42660	Seattle Metro Area (WA)	msa	3504628
310M200US33460	Minneapolis Metro Area (MN-WI)	msa	3391191
0500000US06073	"San Diego County, CA"	county	3138265
310M200US41740	San Diego Metro Area (CA)	msa	3138265
0400000US19	Iowa	state	3062553
0500000US06059	"Orange County, CA"	county	3051771
0400000US28	Mississippi	state	2976872
0400000US05	Arkansas	state	2933369
0400000US20	Kansas	state	2868107
310M200US45300	Tampa Metro Area (FL)	msa	2819241
0400000US49	Utah	state	2813673
310M200US41180	St. Louis Metro Area (MO-IL)	msa	2792127
310M200US12580	Baltimore Metro Area (MD)	msa	2734044
0400000US32	Nevada	state	2730066
1600000US1714000	"Chicago, IL"	place	2706101
310M200US19740	Denver Metro Area (CO)	msa	2601465
0500000US12086	"Miami-Dade County, FL"	county	2549075
0500000US36047	"Kings County, NY"	county	2539789
0500000US48113	"Dallas County, TX"	county	2412481
